2022-08-15 22:38:18,959 - INFO - Loading Data...
2022-08-15 22:38:22,939 - INFO - Init nn...
2022-08-15 22:38:25,539 - INFO - Training...
2022-08-15 22:38:30,764 - INFO - [1,   369] loss: 0.237
2022-08-15 22:38:30,818 - INFO - [1,   373] loss: 0.236
2022-08-15 22:38:30,873 - INFO - [1,   377] loss: 0.235
2022-08-15 22:38:30,927 - INFO - [1,   381] loss: 0.234
2022-08-15 22:38:30,980 - INFO - [1,   385] loss: 0.233
2022-08-15 22:38:31,034 - INFO - [1,   389] loss: 0.232
2022-08-15 22:38:31,089 - INFO - [1,   393] loss: 0.231
2022-08-15 22:38:31,143 - INFO - [1,   397] loss: 0.230
2022-08-15 22:38:31,197 - INFO - [1,   401] loss: 0.229
2022-08-15 22:38:31,251 - INFO - [1,   405] loss: 0.228
2022-08-15 22:38:31,304 - INFO - [1,   409] loss: 0.227
2022-08-15 22:38:31,360 - INFO - [1,   413] loss: 0.226
2022-08-15 22:38:31,414 - INFO - [1,   417] loss: 0.225
2022-08-15 22:38:31,469 - INFO - [1,   421] loss: 0.224
2022-08-15 22:38:31,522 - INFO - [1,   425] loss: 0.223
2022-08-15 22:38:31,576 - INFO - [1,   429] loss: 0.222
2022-08-15 22:38:31,631 - INFO - [1,   433] loss: 0.221
2022-08-15 22:38:31,684 - INFO - [1,   437] loss: 0.220
2022-08-15 22:38:31,738 - INFO - [1,   441] loss: 0.220
2022-08-15 22:38:31,792 - INFO - [1,   445] loss: 0.219
2022-08-15 22:38:31,845 - INFO - [1,   449] loss: 0.218
2022-08-15 22:38:31,899 - INFO - [1,   453] loss: 0.217
2022-08-15 22:38:31,953 - INFO - [1,   457] loss: 0.216
2022-08-15 22:38:32,007 - INFO - [1,   461] loss: 0.216
2022-08-15 22:38:32,061 - INFO - [1,   465] loss: 0.215
2022-08-15 22:38:32,115 - INFO - [1,   469] loss: 0.215
2022-08-15 22:38:32,169 - INFO - [1,   473] loss: 0.214
2022-08-15 22:38:32,223 - INFO - [1,   477] loss: 0.213
2022-08-15 22:38:32,278 - INFO - [1,   481] loss: 0.213
2022-08-15 22:38:32,331 - INFO - [1,   485] loss: 0.212
2022-08-15 22:38:32,386 - INFO - [1,   489] loss: 0.211
2022-08-15 22:38:32,440 - INFO - [1,   493] loss: 0.211
2022-08-15 22:38:32,494 - INFO - [1,   497] loss: 0.210
2022-08-15 22:38:32,548 - INFO - [1,   501] loss: 0.210
2022-08-15 22:38:32,603 - INFO - [1,   505] loss: 0.209
2022-08-15 22:38:32,657 - INFO - [1,   509] loss: 0.208
2022-08-15 22:38:32,710 - INFO - [1,   513] loss: 0.208
2022-08-15 22:38:32,765 - INFO - [1,   517] loss: 0.207
2022-08-15 22:38:32,818 - INFO - [1,   521] loss: 0.207
2022-08-15 22:38:32,872 - INFO - [1,   525] loss: 0.206
2022-08-15 22:38:32,927 - INFO - [1,   529] loss: 0.206
2022-08-15 22:38:32,981 - INFO - [1,   533] loss: 0.206
2022-08-15 22:38:33,034 - INFO - [1,   537] loss: 0.205
2022-08-15 22:38:33,090 - INFO - [1,   541] loss: 0.205
2022-08-15 22:38:33,143 - INFO - [1,   545] loss: 0.204
2022-08-15 22:38:33,197 - INFO - [1,   549] loss: 0.203
2022-08-15 22:38:33,252 - INFO - [1,   553] loss: 0.203
2022-08-15 22:38:33,305 - INFO - [1,   557] loss: 0.203
2022-08-15 22:38:33,361 - INFO - [1,   561] loss: 0.202
2022-08-15 22:38:33,416 - INFO - [1,   565] loss: 0.201
2022-08-15 22:38:33,470 - INFO - [1,   569] loss: 0.201
2022-08-15 22:38:33,524 - INFO - [1,   573] loss: 0.201
2022-08-15 22:38:33,578 - INFO - [1,   577] loss: 0.200
2022-08-15 22:38:33,632 - INFO - [1,   581] loss: 0.200
2022-08-15 22:38:33,685 - INFO - [1,   585] loss: 0.199
2022-08-15 22:38:33,739 - INFO - [1,   589] loss: 0.199
2022-08-15 22:38:33,793 - INFO - [1,   593] loss: 0.199
2022-08-15 22:38:33,848 - INFO - [1,   597] loss: 0.198
2022-08-15 22:38:33,904 - INFO - [1,   601] loss: 0.198
2022-08-15 22:38:33,960 - INFO - [1,   605] loss: 0.197
2022-08-15 22:38:34,013 - INFO - [1,   609] loss: 0.197
2022-08-15 22:38:34,068 - INFO - [1,   613] loss: 0.197
2022-08-15 22:38:34,122 - INFO - [1,   617] loss: 0.197
2022-08-15 22:38:34,175 - INFO - [1,   621] loss: 0.196
2022-08-15 22:38:34,229 - INFO - [1,   625] loss: 0.196
2022-08-15 22:38:34,283 - INFO - [1,   629] loss: 0.195
2022-08-15 22:38:34,337 - INFO - [1,   633] loss: 0.195
2022-08-15 22:38:34,393 - INFO - [1,   637] loss: 0.195
2022-08-15 22:38:34,446 - INFO - [1,   641] loss: 0.194
2022-08-15 22:38:34,500 - INFO - [1,   645] loss: 0.194
2022-08-15 22:38:34,555 - INFO - [1,   649] loss: 0.194
2022-08-15 22:38:34,609 - INFO - [1,   653] loss: 0.193
2022-08-15 22:38:34,663 - INFO - [1,   657] loss: 0.193
2022-08-15 22:38:34,716 - INFO - [1,   661] loss: 0.193
2022-08-15 22:38:34,770 - INFO - [1,   665] loss: 0.192
2022-08-15 22:38:34,825 - INFO - [1,   669] loss: 0.192
2022-08-15 22:38:34,879 - INFO - [1,   673] loss: 0.192
2022-08-15 22:38:34,933 - INFO - [1,   677] loss: 0.191
2022-08-15 22:38:34,988 - INFO - [1,   681] loss: 0.191
2022-08-15 22:38:35,043 - INFO - [1,   685] loss: 0.191
2022-08-15 22:38:35,097 - INFO - [1,   689] loss: 0.190
2022-08-15 22:38:35,153 - INFO - [1,   693] loss: 0.190
2022-08-15 22:38:35,207 - INFO - [1,   697] loss: 0.189
2022-08-15 22:38:35,262 - INFO - [1,   701] loss: 0.189
2022-08-15 22:38:35,316 - INFO - [1,   705] loss: 0.189
2022-08-15 22:38:35,369 - INFO - [1,   709] loss: 0.188
2022-08-15 22:38:35,425 - INFO - [1,   713] loss: 0.188
2022-08-15 22:38:35,478 - INFO - [1,   717] loss: 0.188
